,year,word_count,page_count,book_count
0,1579,108744,551,1
1,1587,248361,762,2
2,1592,114000,742,2
3,1598,16273,161,1
4,1603,27188,157,1
5,1607,38480,245,1
6,1609,27949,436,2
7,1621,71217,647,1
8,1643,191308,941,1
9,1644,183407,955,1
10,1650,80336,281,1
11,1651,7593,67,1
12,1657,36224,445,1
13,1660,20208,159,1
14,1666,47956,571,1
15,1667,45081,399,1
16,1673,77220,701,1
17,1675,506258,2118,4
18,1681,94572,573,1
19,1682,26650,61,1
20,1683,77490,849,1
21,1685,337570,2381,3
22,1689,53470,467,1
23,1693,66907,307,1
24,1696,60718,613,1
25,1701,7615,83,1
26,1702,184808,1807,3
27,1703,10566,55,1
28,1704,775250,2730,4
29,1705,172811,778,2
30,1706,134910,988,2
31,1708,483106,3457,5
32,1709,104288,723,1
33,1710,82050,751,1
34,1711,58583,475,1
35,1713,114062,728,2
36,1714,236106,1153,1
37,1715,374470,2293,3
38,1716,14165,193,1
39,1717,345580,2372,4
40,1718,45572,415,1
41,1719,427790,2467,5
42,1720,1032451,6224,8
43,1721,59214,601,1
44,1722,917769,4807,7
45,1723,179625,1337,5
46,1724,509627,3069,5
47,1725,444850,2389,5
48,1726,1424212,14034,20
49,1727,820478,6615,9
50,1728,538106,3308,6
51,1729,138519,1145,3
52,1730,15504,145,1
53,1731,108310,823,3
54,1732,162810,1746,2
55,1733,507002,4098,6
56,1734,290676,1755,3
57,1735,143848,1184,2
58,1736,403259,1634,4
59,1737,1220902,7171,9
60,1738,412907,2053,3
61,1739,994195,5368,6
62,1740,525976,3090,6
63,1741,505021,2339,7
64,1742,303443,1492,2
65,1743,199400,906,2
66,1744,420325,2932,6
67,1745,458427,3136,6
68,1746,118537,1141,3
69,1747,496281,2560,4
70,1748,428988,2476,4
71,1749,1118921,7718,14
72,1750,1405951,7666,12
73,1751,2191182,10239,17
74,1752,1031050,7034,10
75,1753,783504,4862,8
76,1754,834256,5140,8
77,1755,1193175,7481,11
78,1756,1279096,5362,6
79,1757,321800,2335,5
80,1758,149523,1566,4
81,1759,90904,782,2
82,1760,352742,3107,5
83,1761,257007,2455,5
84,1762,275753,1766,4
85,1763,475319,3417,7
86,1764,481062,3430,4
87,1765,518365,3355,5
88,1766,1414510,9431,13
89,1767,948505,5891,11
90,1768,631503,6812,12
91,1769,43465,570,2
92,1770,967629,5433,9
93,1771,904445,5893,9
94,1772,256431,2943,5
95,1773,1220349,5421,11
96,1774,580909,5862,8
97,1775,935364,6315,11
98,1776,196986,1420,4
99,1777,863748,6011,11
100,1778,61225,835,1
101,1779,737770,3222,4
102,1780,245457,1962,4
103,1781,952596,7129,9
104,1782,146948,1548,4
105,1783,531712,4972,10
106,1784,1465984,7942,14
107,1785,861158,6293,11
108,1786,733478,4501,9
109,1787,423266,4065,7
110,1788,737078,6409,13
111,1789,3596497,20821,31
112,1790,1572667,10907,15
113,1791,744260,5753,11
114,1792,1762143,11782,18
115,1793,1681191,12407,21
116,1794,1820764,12453,23
117,1795,1860970,14203,23
118,1796,3732898,22920,28
119,1797,2486426,19646,30
120,1798,2291296,19286,28
121,1799,1714294,12433,21
122,1800,4819308,32145,41
123,1801,1625094,13532,24
124,1802,2242368,18081,29
125,1803,1452780,10169,13
126,1804,2625798,20185,31
127,1805,3413008,18191,21
128,1806,7251441,40022,50
129,1807,4170586,29431,39
130,1808,4832922,34457,51
131,1809,4500650,30019,49
132,1810,5920417,31228,46
133,1811,6823449,36186,50
134,1812,15820180,69868,70
135,1813,4156733,24556,36
136,1814,5826319,40918,58
137,1815,6594719,40840,64
138,1816,4167605,23229,35
139,1817,4000484,30749,45
140,1818,3722681,24437,35
141,1819,5783065,36821,57
142,1820,8211582,50162,70
143,1821,4973381,25938,42
144,1822,14003140,77574,106
145,1823,7416314,43772,60
146,1824,16080876,79107,103
147,1825,14374840,89067,117
148,1826,9158427,55664,80
149,1827,9561767,54030,78
150,1828,10142675,65636,96
151,1829,10412826,64566,100
152,1830,6025055,39801,71
153,1831,12458392,75984,108
154,1832,14419287,85717,129
155,1833,12129178,71939,109
156,1834,11199588,65196,102
157,1835,12465578,72202,112
158,1836,19893052,106938,146
159,1837,15987504,92203,127
160,1838,16640130,91775,123
161,1839,23100855,99673,137
162,1840,23877091,118262,144
163,1841,21460969,103848,146
164,1842,20539020,93905,123
165,1843,13413447,66303,89
166,1844,19432180,99512,132
167,1845,20448401,96908,142
168,1846,20344735,102208,158
169,1847,24159280,110227,157
170,1848,22569271,109983,163
171,1849,26030330,122198,172
172,1850,22287892,113042,158
173,1851,22751429,111095,173
174,1852,30166183,148760,210
175,1853,31809346,161676,228
176,1854,32661905,166559,247
177,1855,33388836,156730,214
178,1856,39392799,191469,261
179,1857,35115518,186588,248
180,1858,25401662,128046,192
181,1859,26692738,141331,191
182,1860,36089040,193644,254
183,1861,15860844,81813,115
184,1862,23403937,116217,163
185,1863,23518740,122604,184
186,1864,27141018,143348,204
187,1865,32004528,168328,234
188,1866,35590081,176962,256
189,1867,34818417,173813,247
190,1868,35184779,166711,243
191,1869,31325296,160139,225
192,1870,36821363,144983,213
193,1871,33180939,173409,265
194,1872,35697231,165924,240
195,1873,37010994,186694,256
196,1874,38633492,210017,295
197,1875,36079511,180709,267
198,1876,36544285,190441,271
199,1877,32688971,172064,252
200,1878,31900738,170289,261
201,1879,30302560,178222,280
202,1880,53768039,250799,343
203,1881,46670642,256530,372
204,1882,48852062,252962,352
205,1883,63180419,339265,465
206,1884,51929407,293334,440
207,1885,53542086,300218,444
208,1886,48191766,268523,379
209,1887,54268958,299105,453
210,1888,54530190,314222,480
211,1889,52980863,298744,476
212,1890,67389346,384491,573
213,1891,70012345,402099,615
214,1892,79775180,455142,682
215,1893,81682402,463129,665
216,1894,89201899,521907,751
217,1895,97628872,607247,973
218,1896,90867769,581699,905
219,1897,90317712,562134,846
220,1898,100453697,627063,913
221,1899,124709549,791948,1162
222,1900,130213235,813143,1149
223,1901,125888781,787157,1111
224,1902,106526765,704495,1057
225,1903,116303194,747661,1121
226,1904,100961443,655065,997
227,1905,94059702,612807,957
228,1906,121050175,754796,1110
229,1907,95764350,623840,954
230,1908,116797745,732676,1076
231,1909,101980106,643192,958
232,1910,108724449,697326,1036
233,1911,103653549,665086,994
234,1912,110739824,661105,1001
235,1913,101618291,649535,987
236,1914,99639451,624448,940
237,1915,73694929,486535,791
238,1916,89556864,590936,934
239,1917,84835359,551433,845
240,1918,66149151,443038,736
241,1919,87266806,566611,917
242,1920,90344030,584458,956
243,1921,86420567,539595,893
244,1922,108822566,685910,1102
245,1923,121315731,729102,1168
246,1924,110925259,665238,1062
247,1925,130083687,773878,1200
248,1926,119160949,710057,1151
249,1927,120561881,718141,1149
250,1928,121428129,735257,1183
251,1929,132102050,793574,1270
252,1930,133095682,776459,1223
253,1931,119428017,685633,1025
254,1932,111479028,618147,933
255,1933,97154606,543519,817
256,1934,106921566,585014,830
257,1935,112808240,627658,904
258,1936,110512427,625582,918
259,1937,110220038,608384,886
260,1938,98968191,547706,796
261,1939,86249488,479899,749
262,1940,83700983,459150,680
263,1941,89867486,462241,663
264,1942,75953888,397700,582
265,1943,69570342,357346,580
266,1944,78832763,391612,656
267,1945,88203358,441017,751
268,1946,132013860,659523,1083
269,1947,146214512,728153,1169
270,1948,138075073,672716,1090
271,1949,133185263,670279,1123
272,1950,179646224,909289,1443
273,1951,161996412,824998,1354
274,1952,179806520,833971,1355
275,1953,149881889,756873,1321
276,1954,151180997,774184,1372
277,1955,166424625,823487,1441
278,1956,147795397,743606,1294
279,1957,165920365,856713,1567
280,1958,169347295,866395,1547
281,1959,164914620,829334,1514
282,1960,176506761,897698,1652
283,1961,215160265,1074654,1882
284,1962,202384231,1020182,1864
285,1963,206810606,1065333,1975
286,1964,205481966,1048306,2000
287,1965,230229962,1144587,2179
288,1966,215595610,1103134,2138
289,1967,246809700,1267095,2427
290,1968,278170128,1436559,2725
291,1969,290648365,1588994,3028
292,1970,314277020,1695745,3145
293,1971,275008794,1470803,2819
294,1972,273801025,1460100,2834
295,1973,262473028,1390712,2860
296,1974,273144998,1474621,2979
297,1975,279324315,1516264,3072
298,1976,347871514,1811883,3473
299,1977,350328624,1844263,3595
300,1978,376958195,1953781,3787
301,1979,382669556,1992739,3959
302,1980,426557983,2180429,4185
303,1981,485318216,2457048,4544
304,1982,531527347,2690656,5106
305,1983,554363983,2858835,5399
306,1984,600092739,3118495,5939
307,1985,643991527,3354892,6406
308,1986,697263853,3652704,6862
309,1987,776835069,4058841,7575
310,1988,800829817,4244800,8092
311,1989,852604408,4543852,8724
312,1990,939638085,4972396,9244
313,1991,960826795,5170845,9459
314,1992,1009966997,5472108,10016
315,1993,1036118729,5607524,10096
316,1994,1123797173,6080016,10806
317,1995,1133736524,6175191,11145
318,1996,1194527289,6483922,11530
319,1997,1195936887,6546379,11891
320,1998,1288126415,7066855,12551
321,1999,1435182339,7842769,13923
322,2000,1754886337,9546800,17170
323,2001,1875719947,10219474,18264
324,2002,2189094791,12041320,21476
325,2003,2496381597,13779204,24258
326,2004,3089254092,16652991,31499
327,2005,2917945530,16254716,28888
328,2006,3148059652,17764806,31230
329,2007,4106418822,22364778,39850
330,2008,5805045097,33893303,59481
331,2009,4105056066,24292179,43273
